,clicks,relative time,label
MC,1,392,mayank
MC,1,160,mayank
MC,1,200,mayank
MC,1,160,mayank
MC,1,151,mayank
MC,1,151,mayank
MC,1,104,mayank
MC,1,201,mayank
MC,1,176,mayank
MC,1,152,mayank
MC,1,0,mayank
MC,1,144,mayank
MC,1,136,mayank
MC,1,152,mayank
MC,1,192,mayank
MC,1,136,mayank
MC,1,160,mayank
MC,1,144,mayank
MC,1,168,mayank
MC,1,192,mayank
MC,1,127,mayank
MC,1,225,mayank
MC,1,89,mayank
MC,1,144,mayank
MC,1,183,mayank
MC,1,151,mayank
MC,1,192,mayank
MC,1,288,mayank
MC,1,144,mayank
MC,1,112,mayank
MC,1,152,mayank
MC,1,192,mayank
MC,1,104,mayank
MC,1,176,mayank
MC,1,248,mayank
MC,1,152,mayank
MC,1,184,mayank
MC,1,336,mayank
MC,1,192,mayank
MC,1,136,mayank
MC,1,120,mayank
MC,1,232,mayank
MC,1,424,mayank
MC,1,264,mayank
MC,1,264,mayank
MC,1,168,mayank
MC,1,184,mayank
MC,1,121,mayank
MC,1,96,mayank
MC,1,145,mayank
MC,1,128,mayank
MC,1,151,mayank
MC,1,104,mayank
MC,1,296,mayank
MC,2,192,mayank
MC,1,96,mayank
MC,1,160,mayank
MC,1,120,mayank
MC,1,336,mayank
MC,1,152,mayank
MC,1,168,mayank
MC,1,176,mayank
MC,1,248,mayank
MC,1,224,mayank
MC,1,128,mayank
MC,1,176,mayank
MC,1,160,mayank
MC,1,120,mayank
MC,1,144,mayank
MC,1,136,mayank
MC,1,168,mayank
MC,1,96,mayank
MC,1,144,mayank
MC,1,161,mayank
MC,1,127,mayank
MC,1,0,mayank
MC,1,128,mayank
MC,1,120,mayank
MC,1,128,mayank
MC,1,128,mayank
MC,1,152,mayank
MC,1,168,mayank
MC,1,103,mayank
MC,1,112,mayank
MC,1,152,mayank
MC,1,240,mayank
MC,1,120,mayank
MC,1,112,mayank
MC,1,280,mayank
MC,2,184,mayank
MC,1,137,mayank
MC,1,152,mayank
MC,1,0,mayank
MC,1,176,mayank
MC,1,161,mayank
MC,1,153,mayank
MC,1,129,mayank
MC,1,143,mayank
MC,1,200,mayank
MC,1,160,mayank
MC,1,200,mayank
MC,1,128,mayank
MC,1,160,mayank
MC,1,232,mayank
MC,1,152,mayank
MC,1,184,mayank
MC,2,248,mayank
MC,1,265,mayank
MC,1,208,mayank
MC,1,216,mayank
MC,1,152,mayank
MC,1,88,mayank
MC,1,135,mayank
MC,1,151,mayank
MC,1,152,mayank
MC,1,96,mayank
MC,1,129,mayank
MC,1,120,mayank
MC,1,96,mayank
MC,1,0,mayank
MC,1,168,mayank
MC,1,160,mayank
MC,1,135,mayank
MC,1,168,mayank
MC,2,287,mayank
MC,1,144,mayank
MC,1,176,mayank
MC,1,0,mayank
MC,1,112,mayank
MC,1,128,mayank
MC,1,128,mayank
MC,1,112,mayank
MC,1,1,mayank
MC,1,128,mayank
MC,1,119,mayank
MC,1,169,mayank
MC,1,176,mayank
MC,1,128,mayank
MC,1,159,mayank
MC,1,0,mayank
MC,1,128,mayank
MC,1,144,mayank
MC,1,184,mayank
MC,1,152,mayank
MC,1,120,mayank
MC,1,111,mayank
MC,1,184,mayank
MC,1,199,mayank
MC,1,216,mayank
MC,1,231,mayank
MC,1,159,mayank
MC,1,152,mayank
MC,1,590,mayank
MC,1,95,mayank
MC,1,176,mayank
MC,1,136,mayank
MC,1,167,mayank
MC,1,0,mayank
MC,1,136,mayank
MC,1,128,mayank
MC,1,136,mayank
MC,2,176,mayank
MC,1,144,mayank
MC,1,480,mayank
MC,1,127,mayank
MC,1,0,mayank
MC,1,143,mayank
MC,1,183,mayank
MC,1,128,mayank
MC,1,143,mayank
MC,1,224,mayank
MC,1,215,mayank
MC,1,144,mayank
MC,1,223,mayank
MC,1,201,mayank
MC,1,184,mayank
MC,1,192,mayank
MC,1,168,mayank
MC,1,96,mayank
MC,1,208,mayank
MC,1,128,mayank
MC,1,136,mayank
MC,1,175,mayank
MC,1,152,mayank
MC,1,144,mayank
MC,1,129,mayank
MC,1,88,mayank
MC,1,168,mayank
MC,1,128,mayank
MC,1,488,mayank
MC,1,216,mayank
MC,1,160,mayank
MC,1,192,mayank
MC,1,176,mayank
MC,1,144,mayank
MC,1,136,mayank
MC,1,224,mayank
MC,1,136,mayank
MC,1,224,mayank
MC,1,161,mayank
MC,1,169,mayank
MC,1,152,mayank
MC,1,208,mayank
MC,1,120,mayank
MC,1,160,mayank
MC,1,153,mayank
MC,1,208,mayank
MC,1,136,mayank
MC,1,128,mayank
MC,1,192,mayank
MC,1,144,mayank
MC,1,128,mayank
MC,1,128,mayank
MC,1,216,mayank
MC,1,112,mayank
MC,1,208,mayank
MC,1,136,mayank
MC,1,264,mayank
MC,1,152,mayank
MC,1,208,mayank
MC,1,136,mayank
MC,1,208,mayank
MC,1,169,mayank
MC,1,191,mayank
MC,1,129,mayank
MC,1,145,mayank
MC,1,128,mayank
MC,1,152,mayank
MC,1,241,mayank
MC,1,136,mayank
MC,1,168,mayank
MC,1,152,mayank
MC,1,216,mayank
MC,1,184,mayank
MC,2,280,mayank
MC,3,192,mayank
MC,1,152,mayank
MC,1,136,mayank
MC,1,176,mayank
MC,1,0,mayank
MC,1,105,mayank
MC,1,184,mayank
MC,1,128,mayank
MC,1,160,mayank
MC,1,136,mayank
MC,1,144,mayank
MC,1,144,mayank
MC,1,240,mayank
MC,1,124,mayank
MC,1,128,mayank
MC,1,112,mayank
MC,1,129,mayank
MC,1,0,mayank
MC,1,402,mayank
MC,1,304,mayank
MC,1,281,mayank
MC,1,184,mayank
MC,1,96,mayank
MC,1,184,mayank
MC,1,144,mayank
MC,1,200,mayank
MC,1,88,mayank
MC,1,224,mayank
MC,1,104,mayank
MC,1,152,mayank
MC,1,208,mayank
MC,1,176,mayank
MC,1,168,mayank
MC,1,168,mayank
MC,1,96,mayank
MC,1,144,mayank
MC,1,137,mayank
MC,1,153,mayank
MC,1,128,mayank
MC,1,152,mayank
MC,1,136,mayank
MC,1,136,mayank
MC,1,153,mayank
MC,1,184,mayank
MC,1,160,mayank
MC,1,216,mayank
MC,1,160,mayank
MC,1,136,mayank
MC,1,168,mayank
MC,1,184,mayank
MC,1,120,mayank
MC,1,128,mayank
MC,1,120,mayank
MC,1,200,mayank
MC,2,168,mayank
MC,3,160,mayank
MC,1,152,mayank
MC,1,104,mayank
MC,1,168,mayank
MC,1,71,mayank
MC,1,193,mayank
MC,1,119,mayank
MC,1,152,mayank
MC,1,144,mayank
MC,1,231,mayank
MC,1,0,mayank
MC,1,175,mayank
MC,1,209,mayank
MC,1,199,mayank
MC,1,100,mayank
MC,1,113,mayank
MC,1,177,mayank
MC,1,134,mayank
MC,1,311,mayank
MC,2,161,mayank
MC,1,217,mayank
MC,1,99,mayank
MC,1,146,mayank
MC,1,119,mayank
MC,1,176,mayank
MC,1,216,mayank
MC,1,199,mayank
MC,1,181,mayank
MC,1,135,mayank
MC,1,80,mayank
MC,1,127,mayank
MC,1,185,mayank
MC,1,174,mayank
MC,1,140,mayank
MC,1,118,mayank
MC,1,97,mayank
MC,1,136,mayank
MC,1,119,mayank
MC,1,144,mayank
MC,1,144,mayank
MC,1,208,mayank
MC,1,143,mayank
MC,1,192,mayank
MC,1,217,mayank
MC,1,201,mayank
MC,1,127,mayank
MC,1,240,mayank
MC,1,128,mayank
MC,1,234,mayank
MC,1,128,mayank
MC,1,0,mayank
MC,1,183,mayank
MC,1,161,mayank
MC,1,192,mayank
MC,1,153,mayank
MC,1,129,mayank
MC,1,240,mayank
MC,1,185,mayank
MC,1,128,mayank
MC,1,248,mayank
MC,1,168,mayank
MC,1,175,mayank
MC,1,463,mayank
MC,1,280,mayank
MC,1,112,mayank
MC,1,161,mayank
MC,1,129,mayank
MC,1,384,mayank
MC,1,312,mayank
MC,1,0,mayank
MC,1,248,mayank
MC,1,159,mayank
MC,1,2,mayank
MC,1,178,mayank
MC,1,111,mayank
MC,1,73,mayank
MC,1,128,mayank
MC,1,208,mayank
MC,1,175,mayank
MC,1,127,mayank
MC,1,113,mayank
MC,1,176,mayank
MC,1,127,mayank
MC,1,168,mayank
MC,1,128,mayank
MC,1,136,mayank
MC,1,105,mayank
MC,1,136,mayank
MC,1,144,mayank
MC,1,104,mayank
MC,1,119,mayank
MC,1,209,mayank
MC,1,88,mayank
MC,1,112,mayank
MC,1,103,mayank
MC,1,80,mayank
MC,1,113,mayank
MC,1,112,mayank
MC,1,314,mayank
MC,1,232,mayank
MC,1,232,mayank
MC,1,264,mayank
MC,1,96,mayank
MC,1,232,mayank
MC,1,160,mayank
MC,1,200,mayank
MC,1,175,mayank
MC,1,184,mayank
MC,1,169,mayank
MC,2,175,mayank
MC,3,177,mayank
MC,1,136,mayank
MC,1,137,mayank
MC,1,151,mayank
MC,1,132,mayank
MC,1,159,mayank
MC,1,490,tejas
MC,1,442,tejas
MC,1,401,tejas
MC,1,369,tejas
MC,1,441,tejas
MC,1,449,tejas
MC,1,370,tejas
MC,1,350,tejas
MC,1,370,tejas
MC,1,362,tejas
MC,1,402,tejas
MC,1,463,tejas
MC,1,362,tejas
MC,1,381,tejas
MC,1,450,tejas
MC,1,381,tejas
MC,1,372,tejas
MC,1,371,tejas
MC,1,410,tejas
MC,1,391,tejas
MC,1,430,tejas
MC,1,390,tejas
MC,1,381,tejas
MC,1,381,tejas
MC,1,349,tejas
MC,1,362,tejas
MC,1,389,tejas
MC,1,391,tejas
MC,1,381,tejas
MC,1,411,tejas
MC,1,401,tejas
MC,1,362,tejas
MC,1,351,tejas
MC,1,410,tejas
MC,1,372,tejas
MC,1,389,tejas
MC,1,401,tejas
MC,1,372,tejas
MC,1,382,tejas
MC,1,421,tejas
MC,1,352,tejas
MC,1,370,tejas
MC,1,400,tejas
MC,1,381,tejas
MC,1,402,tejas
MC,1,353,tejas
MC,1,351,tejas
MC,1,663,tejas
MC,1,472,tejas
MC,1,372,tejas
MC,1,369,tejas
MC,1,522,tejas
MC,1,351,tejas
MC,1,381,tejas
MC,1,420,tejas
MC,1,380,tejas
MC,1,368,tejas
MC,1,370,tejas
MC,1,1308,tejas
MC,1,360,tejas
MC,1,352,tejas
MC,1,389,tejas
MC,1,361,tejas
MC,1,393,tejas
MC,1,362,tejas
MC,1,361,tejas
MC,1,359,tejas
MC,1,383,tejas
MC,1,420,tejas
MC,1,371,tejas
MC,1,1307,tejas
MC,1,382,tejas
MC,1,391,tejas
MC,1,351,tejas
MC,1,623,tejas
MC,1,452,tejas
MC,1,380,tejas
MC,1,342,tejas
MC,1,371,tejas
MC,1,370,tejas
MC,1,558,tejas
MC,1,390,tejas
MC,1,369,tejas
MC,1,371,tejas
MC,1,362,tejas
MC,1,382,tejas
MC,1,351,tejas
MC,1,633,tejas
MC,1,380,tejas
MC,1,360,tejas
MC,1,325,tejas
MC,1,361,tejas
MC,1,351,tejas
MC,1,371,tejas
MC,1,321,tejas
MC,1,441,tejas
MC,1,381,tejas
MC,1,380,tejas
MC,1,357,tejas
MC,1,359,tejas
MC,1,351,tejas
MC,1,400,tejas
MC,1,380,tejas
MC,1,371,tejas
MC,1,340,tejas
MC,1,373,tejas
MC,1,360,tejas
MC,1,361,tejas
MC,1,380,tejas
MC,1,323,tejas
MC,1,390,tejas
MC,1,473,tejas
MC,1,380,tejas
MC,1,381,tejas
MC,1,371,tejas
MC,1,372,tejas
MC,1,370,tejas
MC,1,381,tejas
MC,1,441,tejas
MC,1,373,tejas
MC,1,370,tejas
MC,1,381,tejas
MC,1,381,tejas
MC,1,380,tejas
MC,1,353,tejas
MC,1,372,tejas
MC,1,370,tejas
